id	concatena	primo_cognome	secondo_cognome	terzo_cognome	primo_nome	secondo_nome	terzo_nome	sesso	luogo_di_nascita	data_di_nascita	luogo_di_morte	data_di_morte	facolta	corso	insegnamenti	inizio_carriera_accademica	fine_carriera_accademica	biografia	ambiti_di_ricerca	carriera_extra_acc	riferimenti_bibliografici	riferimenti_archivistici	docente	rettore	inizio_mandato	fine_mandato	docente_illustre	laureato_ad_honorem	prima_donna_docente	autore	revisore
11	deAquenaGavino	deAquena			Gavino			M				1722-08-19						Gavino de Aquena nacque a Cagliari nel 1665. Si laureò in Teologia presso la Sapienza di Roma il 20 dicembre 1687 e divenne canonico della Cattedrale di Cagliari, dove officiò tra il 1693 e il 1697. Il 5 febbraio 1697 fu nominato Giudice di appellazioni per le cause ecclesiastiche della Sardegna. Tre anni dopo, l’8 marzo 1700, fu scelto come rettore dell’Università di Cagliari dai consiglieri della città. Gavino de Aquena è passato alla storia per il suo grande spirito di carità verso i poveri, per i quali non esitava a rinunciare ai suoi beni materiali e di prima necessità. Si riporta, infatti, che donò più volte gli indumenti che indossava.		Poco prima della fine del triennio rettorale, il 17 dicembre 1703, fu eletto vescovo di Bosa, carica già ricoperta quasi un secolo prima dal suo antenato Giovanni Battista de Aquena. In qualità di vescovo di Bosa, il de Aquena intervenne nella vertenza tra i serviti di Sassari e i canonici del Capitolo di Bosa in merito all’eredità del vescovo Giorgio Sotgia, suo predecessore, che riguardava la biblioteca e la tipografia da questo impiantate nel convento sassarese dei Padri Serviti. Nel 1721 l’Aquena fu proposto come arcivescovo di Oristano, sede vacante dal 1716. La proposta non ebbe seguito, forse per questioni politiche o in ragione di motivi di salute, visto che morì a Villanova Monteleone il 19 agosto 1722 e fu sepolto nella Cattedrale bosana, con solenni funerali, il 23 agosto successivo. 		ASCa, vol. 53.3, c. 45v ( LXII)	sì	no			no	no	no	Mariangela Rapetti; Eleonora Todde	Eleonora Todde
12	ArePedroJoan	Are			PedroJoan			M										cattedratico primario di medicina dell’Università di Cagliari				ASCa, vol. 407 bis, fasc. 4, n. 27 (LVIII)	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
13	ArjuBartholome	Arju			Bartholome			M										frate  provinciale  dei  conventuali  di  San  Francesco  e cattedratico di Teologia all’Università di Cagliari				ASCa, vol. 407 bis, fasc. 4, n. 7.1 (XIII)	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
14	Asquery MartìEmanueleFrancesco	Asquer	y Martì		Emanuele	Francesco		M										Emanuele Francesco Asquer y Martì, canonico della Cattedrale cagliaritana, nacque sul finire del 1674. Figlio di Don Stefano, era nipote di Stefano Asquer, giunto in Sardegna dalla Liguria nella seconda metà del Cinquecento, e cugino di Ignazio Salvatore Asquer y Carta, che nel 1688 aveva sposato donna Eleonora Gessa, signora di Flumini. Il figlio di Eleonora Gessa e Ignazio Asquer, Francesco Giuseppe, nel 1747 divenne il primo visconte di Fluminimaggiore e Gessa. La famiglia Asquer ottenne il cavalierato nel 1640, con Giovanni Battista, nonno di Emanuele, e il ramo Asquer y Gessa prosperò grazie anche alla ripopolazione dei villaggi abbandonati di Fluminimaggiore e Gonnesa, nell’Iglesiente. Emanuele Asquer fu nominato dai consiglieri della città di Cagliari nel 1703, ma rimase in carica come rettore solo per un anno, perché morì nel novembre del 1704.					sì	no			no	no	no	Mariangela Rapetti; Eleonora Todde	Eleonora Todde
15	StefaniniStanislao	Stefanini			Stanislao			M	Lucca	1737-07-29	Lucca	1823-12-17	Filosofia e Arti		Eloquenza latina			Stanislao Stefanini nacque a Lucca nalla prima metà del secolo XVIII, e morì nella stessa città dopo il 1812. Entrò giovinetto nell'ordine delle scuole pie, e vi si distinse per i suoi talenti e per l'applicazione grandissima che avea allo studio. Appena terminò in Roma il corso di filosofia e di teologia, fu mandato nel 1765 dai suoi superiori a Sardegna, dove Carlo Emanuele III aveva chiamato in quel tempo abili maestri italiani per la direzione delle scuole minori. Dopo sette anni di lavori indefessi fu promosso il3 dicembre 1771 alla cattedra di Eloquenza latina nella Regia  università di Cagliari. Questo uffizio sostenne onoratamente fino al 1777, nel qual tempo pubblicò molte scritture di vario genere, italiane e latine, in prosa ed in rima, tra le quali ottenne maggior nome l'orazione inaugurale da lui detta nel 1775 per gli studi dell'accademia ca gliaritana. Occupò in appresso i posti più distinti del suo instituto, ed ottenne il favore della real corte sabauda che gli elargì premi e vitalizie pensioni. Si recò poi a Roma, dove dimorò alcun tempo, e infine rientrò a Lucca, dove cessò piamente di vivere.	Abbiamo di lui: De veteribus Sardiniae laudibus oratio, Cagliari 1773; Nei solenni funerali celebrati da Padri delle Scuole Pie di Cagliari a Mons. G. Agostino Delbecchi, ex-Generale della Scuole Pie e arcivescovo di Cagliari, Cagliari 1777; De Christi resurgentis gloria. Tre sermoni dal 1779 al 1781. Quattro orazioni latine intitolate De Christi reviviscentis gloria, e da lui recitate nella cappella pontificia vaticana. Le suddette orazioni furono pubblicate in Roma, e di una delle medesime fecero onoratissima menzione le Effemeridi letterarie di Firenze. Poesie italiane e latine di vario argomento, date in luce in diverse circostanze, parte in Cagliari, parte in Roma. Alcune dissertazioni inedite da lui recitate alla presenza del pontefice Pio VI, allorchè fu annoverato tra gli accademici cattolici.		P. TOLA, Dizionario biografico degli uomini illustri, Torino, 1837-1838, vol. 3, pp. 233-234	ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 63v-64r; 	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
16	CarboniFrancesco	Carboni			Francesco			M	Bonnanaro	1746-03-12	Bessude	1817-04-22	Filosofia e Arti		Eloquenza latina			"Originario di Bonnanaro (SS), apprese i primi rudimenti grammaticali e retorici presso il collegio gesuitico di Sassari. Nel 1763 entrò nell'Ordine gesuitico e fu assunto come insegnante di latino nelle classi inferiori delle scuole gesuitiche finchè non fu mandato a Cagliari con l'incarico di insegnarvi la retorica. Rientrato a Sassari coltivò il diritto civile e canonico nella università di Sassari, per poi allontanarsi dallo studio di questa scienza senza conseguirvi gli onori della laurea, e qui fu sorpreso nel 1773 dalla soppressione dell'Ordine. Si fece tuttavia sacerdote per darsi interamente allo studio della letteratura. Insegnò grammatica e retorica prima ad Alghero e poi, avendo acquisito fama di ottimo istitutore fu chiamato a a Cagliari, dove fu aggregato al Collegio di Filosofia e delle Arti della Regia Università di Cagliari il 4 marzo 1779. Ottenne il titolo e grado di professore di Eloquenza latina nella Regia Università di Cagliari il 12 febbraio 1788 tanto per la sua singolare dottrina ed erudizione, quanto per li segnalati meriti ""che già da dodici anni stava facendosi nella qualità di professore di retorica, ed anche di vice prefetto , e poi di prefetto delle scuole inferiori"". La tranquilla pratica dell'insegnamento letterario fu interrotta allorché si addensarono sul Carboni sospetti di sentimenti filofrancesi (e di eterodossia): del che l'abate volle pubblicamente scagionarsi andando a Torino per riferire di persona al re sul suo comportamento come insegnante e come sacerdote. Sciolto da ogni accusa, egli preferì rimanere nel continente intrecciando una vasta rete di relazioni culturali. Fu uno dei piu` conosciuti verseggiatori in latino del Settecento, acclamato da tutta l’Italia letteraria. Ascritto all'Arcadia e assicuratosi continui rapporti epistolari con i letterati della penisola, preferì in vecchiaia ritornare in Sardegna, ove si stabilì, ormai celebre, non lontano dal paese natale, a Bessude. Quando Pio VII lo invitò a Roma per affidargli il Segretariato pontificio delle lettere latine, con umiltà rifiutò l’incarico e preferì continuare a vivere nella quiete di Bessude. Non abbandonò la tranquilla esistenza del paesino nemmeno quando l’ordine dei Gesuiti fu ricostituito nel 1814. Morì a Bessude il 22 aprile 1817. Le sue spoglie mortali furono sepolte nella parrocchiale chiesa di S. Martino in Bessude."	La produzione del Carboni fu abbondante, comprendendo il poema sacro e il carme descrittivo, la poesia didascalica e l'elegia. Raffa Garzia ha pubblicato in Un poeta latino del Settecento, F.C., un elenco di oltre 70 opere. Tra quelle principali: De sardoa intemperie libelli duo, 1772; La sanita` dei letterati, poemetto, 1774; Sonetti anacreontici, 1774; Poesie italiane e latine, 1774; Coltivazione della rosa, poemetto, 1776; In adventu Victorii Philippi Melani antistitis caralitani carmen, 1778; Carmina nunc primum edita, 1776; Selecta carmina ad tyronum latinae poeseos cultorum captum accomodatiora, 1779.		voce Carboni, Francesco, in La Grande Enciclopedia della Sardegna, vol. 2 pp. 346-347. P. TOLA, Dizionario biografico degli uomini illustri, vol. 1, pp. 172-180. P. MARTINI, Biografia sarda, vol. 1, pp. 256-274.	ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 127v-128r; ivi, s. 2.1.1, b. 47, n. 1, cc. 18.	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
17	MelisPaolo	Melis			Paolo			M					Filosofia e Arti		Eloquenza latina			prefetto delle Scuole Pie, padre Paolo Melis fu nominato professore di Eloquenza latina dell'Università di Cagliari il 25 marzo 1811.				 ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 214r-214v; 	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
18	PintorFrancesco	Pintor			Francesco			M	Cagliari	1773-06-05	Cagliari	1831-12-23	Filosofia e Arti		Eloquenza latina			Abbracciò lo stato clericale fin da giovinetto e, dopo aver intrapreso gli studi filosofici e teologici, si fece sacerdote. Fu per molti anni segretario camerale del cardinal Cadello e dell'Arcivescovo Navoni, e quindi canonico alla Primaziale. Conoscitore profondo della lingua latina, scrittore di belle poesie, nella via degli onori accademici sedette membro del Collegio di Filosofia e di Belle arti della Regia Università di Cagliari, fu nominato segretario della medesima il 7 febbraio 1818, con lo stipendio di 300 lire di Piemonte. Fu poi nominato professore d'Eloquenza latina il 4 settembre 1829. Divenne prefetto del Collegio di Filosofia e Arti il 30 aprile 1831. Le poesie da lui pubblicate in varie circostanze e le cognizioni letterarie delle quali era abbondevolmente fornito, lo fecero degno dell'Associazione all'Arcadia romana, all'Accademia Labronica di Livorno ed alla Regia Società agraria ed economica di Cagliari. 	Tra i suoi componimenti ricordiamo: un'elegia per nozze ec. stampata in Cagliari nel 1816, con la traduzione italiana a fronte; un'egloga latina e parecchie rime italiane da lui composte e pubblicate nel 1828 in Cagliari; il poemetto Palladis consultum, Cagliari, Stamperia R., 1825 (in-8°). Le altre poesie del Pintor si leggono sparse in varie raccolte poetiche del suo tempo; e molte ancora ne scrisse in lingua italiana. Nel poetare italianamente non fu molto valoroso; ma nel comporre in latino fu il solo che, dopo il Carboni, mantenne in Sardegna il primato.		Effemeride Sarda: Col l'aggiunta d'alcuni cenni biografici, di Pietro Meloni Satta, pp. 98, 219. Dizionario biografico degli uomini illustri, Vol. III, pp. 93-95.	 ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n. 2, cc. 15r-15v; 54v-55r; 55r-56r; 	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
19	BerlendisAngelo	Berlendis			Angelo			M	Vicenza	1733-12-22	Cagliari		Filosofia e Arti		Eloquenza italiana			dall'Università di Sassari. prefetto delle Scuole e professore di Retorica nel Collegio dei Gesuiti di Cagliari, ottenne la nomina a professore di Eloquenza Italiana dell'Università di Cagliari il 3 dicembre 1771. Teologo collegiato e Direttore spirituale della medesima, nel Maggio 1785 fu nominato prefetto del Collegio delle Arti a partire dal 1° settembre 1785 per un sesennio. Morì tragicamente a Cagliari nel 1792.			P. TOLA, Dizionario di uomini illustri di Sardegna, Torino, 1837-1838, Volume 1, pp. 126-128	ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 64v-65r; 115v-116r; 	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
20	SoffiLuigi	Soffi			Luigi			M					Filosofia e Arti		Eloquenza italiana			Per cinque anni fu professore di Filosofia e prefetto delle scuole inferiori in Alghero, per tre anni professore di Retorica e prefetto delle stesse scuole della città di Cagliari. Fu nominato professore d'Eloquenza Italiana dell'Università di Cagliari il 26 giugno 1798. Ottenne la nomina a prefetto del Collegio delle Arti, succedendoal maestro Luigi Dessì dell'ordine dei predicatori, con nomina del 1°ottobre 1806.		sacerdote		 ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 170v-171r; 192v-193r; 	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
21	CossedduGiovanniCrisostomo	Cosseddu			Giovanni	Crisostomo		M	Alghero				Filosofia e Arti		Eloquenza italiana			padre scolopio, prefetto e maestro di Retorica nelle Scuole del Collegio di San Giuseppe a Cagliari, Direttore spirituale nella Regia Università di Cagliari, Vicepreside del real collegio cagliaritano, aggregato al Collegio di Filosofia e delle Arti dal 26 febbraio 1795. Venne nominato professore di Eloquenza Italiana il 27 maggio 1799. Successivamente ottenne la nomina a prefetto del collegio di Arti il 7 ottobre 1813. Fu nominato inoltre prefetto maggiore delle Scuole di sintassi, umanità e retorica dei Collegi di S. Giuseppe e di S. Teresa il 13 agosto 1815, con stipendio di 100 lire sarde.				ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 173v-174r; ivi, s. 1.5, b. 13, n. 2, cc. 3r-3v; 10r-11r; ivi, s. 2.1.1, b. 47, n. 1, cc. 48.	sì	no			no	no	no	Laura Cogoni	Eleonora Todde
22	VascoTomaso	Vasco			Tomaso			M	Torino	1733-10-10	Rocchetta di Tanaro	1796-11-11	Teologia		Teologia scolastico-dogmatica e Storia ecclesiastica			Nato Giovanni Battista Melchior Giacinto Vasco, vestì l'abito dell'ordine dei Predicatori di Garessio con il nome di Tomaso e qui vi fece la professione solenne. Fu mandato agli studi in Bologna. Ivi dopo aver difeso pubblicamente varie tesi di Storia Ecclesiastica e poi di Teologia, fu fatto Lettore ed in tal qualità passò nei conventi di Genova e di Cremona. Il Re Carlo, con diploma del 4 agosto 1764 destinò padre Tomaso Vasco alla cattedra di Teologia scolastico-dogmatica e di Storia Ecclesiastica nell'Università di Cagliari, con lo stipendio di cento scudi sardi. ma egli, non contento del soggiorno in Sardegna ottenne le dimissioni. Infatti, da un lato egli matura una visione sempre più articolata sulla situazione di arretratezza dell’economia sarda, venendo a contatto con le condizioni dei contadini e dei pastori di quella regione, e, dall’altro, benché le sue lezioni siano molto seguite, cresce in lui un grande senso di insofferenza, legato ai rapporti con i colleghi, alla mancanza di una biblioteca e alle precarie condizioni di salute. Ebbe a successore in luglio 1766 il padre Liberato Fassoni delle Scuole Pie. Andò a Milano ed era nel convento di San Eustorgio quando per decreto della Penitenziaria del 12 agosto 1774 ottenne il permesso di passare dai Domenicani alla vita di sacerdote secolare. In questo stato l'Abate Giovanni Battista Vasco visse gli ultimi suoi anni, parte in Milano e parte in Piemonte. Morì in Rocchetta di Tanaro l'11 novembre 1796. Fu aggregato alla Accademia Regia delle Scienze di Torino il 4 gennaio 1780, ed alla Società patriottica di Milano il 12 agosto 1790. Fu uno dei principali institutori della Biblioteca oltremontana che si stampava a Torino, e la diresse negli anni 1787 e 1788.	Gli studi furono sempre la sua occupazione più cara. Le dottrine esatte, le scienze naturali e l'economia politica furono il suo massimo diletto.Secondo Franco Venturi (1963, p. 757), Vasco è «il maggiore economista piemontese del Settecento». Compose le seguenti opere: I Contadini. Brescia, 1769, in-8o; Della moneta, Saggio politico, Milano, 1772, in-8o; Risposta al quesito proposto dalla R. Accademia delle Scienze (di Torino) con suo programma del 4 gennaio 1788. Quali siano i mezzi di provvedere al sostentamento degli operai soliti impiegarsi al torcimento delle sete dei filatoi, qualora questa classe di uomini così utile al Piemonte viene ridotta agli estremi dell'indigenza per mancanza di lavoro cagionata dalla scarsezza di seta, con l'epigrafe rapiamus amici occasionem de die. Torino, 1788, Stamperia Reale, in-8o; Mémoire sur les causes de la mendicité et sur les moyens de la supprimer (1788); Delle università delle arti e mestieri (1793); Della cartamoneta. Saggio politico, 1790; L’usura libera, 1792; Piano di giurisprudenza politica, 1771.		C. Danna, Intorno al monumento a Giovanni Battista Vasco inaugurato il 3 di giugno 1862 nella regia Università di Torino, Torino 1862. P. Custodi, Notizie di Giambattista Vasco, in Scrittori classici italiani di economia politica, a cura di P. Custodi, t. 33, Milano 1804, pp. V-VIII. 	 ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 8v-10r; 	sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
23	OggeroPaoloMaria	Oggero			Paolo	Maria		M	Torino	1733-01-03	Torino		Teologia		Sacra Scrittura e Lingua ebrea			"padre carmelitano di S. Teresa, originario di Torino, con Regia  patente del 4 agosto 1764 fu nominato primo professore di Sacra Scrittura e di Lingua ebraica nella Regia Università degli Studi di Cagliari, con lo stipendio di cento scudi sardi. Prestò giuramento presso il Palazzo arcivescovile il 31 ottobre 1764. Tenne il primo discorso inaugurale per la restaurazione dell'Università il giorno 3 novembre 1764 nella Chiesa Primaziale ""Oratio in solemni instauratione Academiae Calaritanae"" (Cagliari 1764). Fu sostituito dal professore Giacinto Hintz nel 1770 a causa delle molteplici indisposizioni che lo avevano colpito agli occhi e si trasferì in terraferma. Gli fu accordata l'aggregazione al Collegio di Teologia dell'Università di Cagliari. Fece supplica per ottenere la giubilazione, e il 1°giugno 1776 ottenne il riconoscimento di Regio professore Giubilato e l'annuo trattenimento di 150 lire di Piemonte. MORTO NEL 1811."	"Lasciò stampati:
1. Graeca et Latina Lingua' Hebraizantes, seu de Graecae et
Latinae Linguae curn Hebraica affinitate Libellus, cui accedit
brevis tractatus de Linguae Italicae Hebraismis. - Venetiis,
1764, in-So.
2. Dissertatio de celebriori Linguae Latinae prae Graecae corruptione
- Si trova nel voI. VI dElgli opuscoli d'IvERDON.
3. De causis occasionalibus. - Ivi.
4. Oratio in solemni instauratione Academiae Calarit. habita .
in aede maxirna III nonas, novembris 1764. - Calaris,
eodem anno, in-4°.
Nei suddetti opuscoli pubblicò anche la lapide romana
di Macia Vera, che esisteva nel chiostro del convento del
Carmine in Torino, la quale iscrizione fu ripubblicata
nella seconda parte dei Marmora taurinensia."		La Real Chiesa Parrocchiale di Ns. Signora del Carmine e del beato Amedeo IX di Savoia, descritta dal teologo professore Maurizio Marrocco, Tipografia Bellardi, Appiotti e Giorsini, Torino 1871.	 ASUCa, USCa, RUSCa, Sezione I, s. 1.5, b. 13, n.1, cc. 7v-8v; c. 48r; cc. 86r-87r; 	sì	no			sì	no	no	Laura Cogoni; Eleonora Todde	Eleonora Todde
